,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Box Office Gross in Million Dollars,Duration in minutes,IMDB User Rating,Metascore from Metacritic
20,Ghost Dog: The Way of the Samurai,1999,"['Action, Crime, Drama']",Jim Jarmusch ,"Forest Whitaker, Henry Silva, John Tormey, Cliff Gorman",['An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.'],3.31,116,7.5,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""761c2520-44f3-46de-ba69-9d976fbe5e2c"")>"
21,The Magnificent Seven,1960,"['Action, Adventure, Western']",John Sturges ,"Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach",['Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.'],4.91,128,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""0ad06849-b1f4-4ee4-8f94-407a7b492d60"")>"
22,Avengers: Endgame,2019,"['Action, Adventure, Drama']","Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","[""After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.""]",858.37,181,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""35df67be-9c43-4100-94ac-aa3675d838c6"")>"
23,V for Vendetta,2005,"['Action, Drama, Sci-Fi']",James McTeigue ,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea","['In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.']",70.51,132,8.1,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""81619b4e-c3b0-4276-8d18-42bc6f5a274a"")>"
24,Star Wars: Episode IV - A New Hope,1977,"['Action, Adventure, Fantasy']",George Lucas ,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","[""Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.""]",322.74,121,8.6,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""6717f774-c833-4272-be4d-999443eab9b8"")>"
25,Batman Begins,2005,"['Action, Adventure']",Christopher Nolan ,"Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson","['After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.']",206.85,140,8.2,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""c8ba4e9d-d343-4204-bbb6-22ba7644c418"")>"
26,Raiders of the Lost Ark,1981,"['Action, Adventure']",Steven Spielberg ,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies","[""In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.""]",248.16,115,8.4,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""0d5c9ef7-42dd-4cae-a1ad-703dc5efe5ce"")>"
27,The Terminator,1984,"['Action, Sci-Fi']",James Cameron ,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","[""A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.""]",38.40,107,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""5cef1e7d-e9d3-4436-ad6f-b088f512bbf4"")>"
28,Ronin,1998,"['Action, Crime, Thriller']",John Frankenheimer ,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård",['A freelancing former U.S. Intelligence Agent tries to track down a mysterious package that is wanted by the Irish and the Russians.'],41.62,122,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""3f14293a-0c44-4245-9e52-e90479fb837c"")>"
29,True Lies,1994,"['Action, Comedy, Thriller']",James Cameron ,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","['A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States.']",146.28,141,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""7f66d971-a6fd-4bdf-813d-6c6313e0f685"")>"
30,Aliens,1986,"['Action, Adventure, Sci-Fi']",James Cameron ,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser","['Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.']",85.16,137,8.3,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""0ea9131a-8acc-4875-adc8-6d889bf3fa7c"")>"
